a    b     c      brian constant
8    34    32     1.503048083709196
8    34    33     1.503048083711359
8    34    34     1.503048083710355
8    34    35     1.503048083710821
8    34    36     1.503048083710604
8    34    37     1.503048083710703
8    34    38     1.503048083710659
8    34    39     1.503048083710681
8    34    40     1.50304808371067
8    35    30     1.503048083703815
8    35    31     1.503048083713861
8    35    32     1.503048083709199
8    35    33     1.503048083711363
8    35    34     1.503048083710358
8    35    35     1.503048083710824
8    35    36     1.503048083710608
8    35    37     1.503048083710708
8    35    38     1.503048083710661
8    35    39     1.503048083710684
8    35    40     1.503048083710672
8    36    30     1.503048083703814
8    36    31     1.50304808371386
8    36    32     1.503048083709198
8    36    33     1.503048083711362
8    36    34     1.503048083710359
8    36    35     1.503048083710824
8    36    36     1.503048083710607
8    36    37     1.503048083710708
8    36    38     1.503048083710661
8    36    39     1.503048083710683
8    36    40     1.503048083710673
8    37    30     1.503048083703814
8    37    31     1.503048083713861
8    37    32     1.503048083709199
8    37    33     1.503048083711362
8    37    34     1.503048083710359
8    37    35     1.503048083710823
8    37    36     1.503048083710608
8    37    37     1.503048083710709
8    37    38     1.503048083710662
8    37    39     1.503048083710684
8    37    40     1.503048083710674
8    38    30     1.503048083703812
8    38    31     1.50304808371386
8    38    32     1.503048083709197
8    38    33     1.50304808371136
8    38    34     1.503048083710357
8    38    35     1.503048083710823
8    38    36     1.503048083710605
8    38    37     1.503048083710706
8    38    38     1.50304808371066
8    38    39     1.503048083710681
8    38    40     1.503048083710671
8    39    30     1.503048083703814
8    39    31     1.503048083713861
8    39    32     1.503048083709199
8    39    33     1.503048083711362
8    39    34     1.503048083710358
8    39    35     1.503048083710826
8    39    36     1.503048083710608
8    39    37     1.503048083710708
8    39    38     1.503048083710661
8    39    39     1.503048083710684
8    39    40     1.503048083710673
8    40    30     1.503048083703814
8    40    31     1.50304808371386
8    40    32     1.5030480837092
8    40    33     1.503048083711362
8    40    34     1.503048083710358
8    40    35     1.503048083710824
8    40    36     1.503048083710609
8    40    37     1.503048083710709
8    40    38     1.503048083710662
8    40    39     1.503048083710685
8    40    40     1.503048083710674
9    30    30     1.503048082287072
9    30    31     1.503048082288901
9    30    32     1.503048082288117
9    30    33     1.503048082288453
9    30    34     1.50304808228831
9    30    35     1.503048082288371
9    30    36     1.503048082288345
9    30    37     1.503048082288357
9    30    38     1.503048082288353
9    30    39     1.503048082288355
9    30    40     1.503048082288354
9    31    30     1.503048082288483
9    31    31     1.503048082290315
9    31    32     1.50304808228953
9    31    33     1.503048082289865
9    31    34     1.503048082289721
9    31    35     1.503048082289781
9    31    36     1.503048082289755
9    31    37     1.503048082289768
9    31    38     1.503048082289762
9    31    39     1.503048082289764
9    31    40     1.503048082289762
9    32    30     1.503048082287826
9    32    31     1.503048082289656
9    32    32     1.503048082288875
9    32    33     1.503048082289208
9    32    34     1.503048082289066
